Case: Case Number,Case: Subject,Case: Description,Case: Product Name,Automation Item Name,Created Date,Body,Feedback,Detailed Feedback,Case: Status,Case: Client Escalated,processed_text
TS017598621,Purescale member 6 crashed due to gpfs assertion failed,"Hi Db2 Support! Environment: Db2 V11.5.9 CSB 42449 Purescale 8 members (gpfs 5.8.1.0) AIX 7.2 TL05 SP07 GPFS from Db2 (member 6) went down with error seen in mmfs.log: 2024-10-16_10:38:02.855-0300: [X] return code 0, reason code 0, log record tag 0 Assertion failed: bdP?pendingOSyncWrites == 0 && bdP?dataBufP == 0 && bdP?pendingReads == 0, file ../../../../../../../src/avs/fs/mmfs/ts/lockmgr/ShHashS.C, line 5865 2024-10-16_10:38:02.859-0300: [E] Signal 6 at location 0×9000000005CEFE4 in process 25231838, link reg 0xFFFFFFFFFFFFFFFF. 2024-10-16_10:38:02.860-0300: [I] r0: 0xFFFFFFFFFFFFFFFF r1: 0×000000012604D3F0 2024-10-16_10:38:02.861-0300: [I] r2: 0xFFFFFFFFFFFFFFFF r3: 0×0000000000000000 2024-10-16_10:38:02.862-0300: [I] r4: 0xFFFFFFFFFFFFFFFF r5: 0xFFFFFFFFFFFFFFFF 2024-10-16_10:38:02.862-0300: [I] r6: 0xFFFFFFFFFFFFFFFF r7: 0xFFFFFFFFFFFFFFFF 2024-10-16_10:38:02.863-0300: [I] r8: 0xFFFFFFFFFFFFFFFF r9: 0xFFFFFFFFFFFFFFFF 2024-10-16_10:38:02.864-0300: [I] r10: 0xFFFFFFFFFFFFFFFF r11: 0xFFFFFFFFFFFFFFFF 2024-10-16_10:38:02.864-0300: [I] r12: 0xFFFFFFFFFFFFFFFF r13: 0×0000000126057800 2024-10-16_10:38:02.865-0300: [I] r14: 0×0000000000000000 r15: 0×8000000000000000 2024-10-16_10:38:02.866-0300: [I] r16: 0×0000000000018E00 r17: 0×00000000000068A0 2024-10-16_10:38:02.867-0300: [I] r18: 0×00000000001B3BE8 r19: 0xF1000013C3A9D010 2024-10-16_10:38:02.868-0300: [I] r20: 0×000000000000006C r21: 0×000000012604FA78 2024-10-16_10:38:02.869-0300: [I] r22: 0×00000001102D79B8 r23: 0×0000000000000000 2024-10-16_10:38:02.870-0300: [I] r24: 0×09001000AA913058 r25: 0×0000000000000001 2024-10-16_10:38:02.871-0300: [I] r26: 0xFFFFFFFFFFFFFFFF r27: 0×0000000000000000 2024-10-16_10:38:02.872-0300: [I] r28: 0×0000000000000006 r29: 0×0000000000000000 2024-10-16_10:38:02.872-0300: [I] r30: 0×0000000000000006 r31: 0×0000000000039697 2024-10-16_10:38:02.873-0300: [I] iar: 0×09000000005CEFE4 msr: 0xA00000000200D032 2024-10-16_10:38:02.874-0300: [I] cr: 0×0000000000004000 link: 0xFFFFFFFFFFFFFFFF 2024-10-16_10:38:02.875-0300: [I] ctr: 0xFFFFFFFF005E3600 xer: 0×00000000FFFFFFFF 2024-10-16_10:38:02.876-0300: [I] exad: 0×09001000AA9CD288 2024-10-16_10:38:02.877-0300: [I] 0×9000000005CEFE4 pthread_kill() + 0xC4 2024-10-16_10:38:02.878-0300: [I] 0×9000000005CE804 p_raise() + 0×44 2024-10-16_10:38:02.879-0300: [I] 0×900000000041508 raise() + 0×48 2024-10-16_10:38:02.880-0300: [I] 0×90000000005F638 abort() + 0xB8 2024-10-1610:38:02.881-0300: [I] 0×9000000000F4210 __assert_c99() + 0×2D0 2024-10-16_10:38:02.881-0300: [I] 0×100017AF8 logAssertFailed() + 0×2F8 2024-10-16_10:38:02.883-0300: [I] 0×10017C6F8 CacheObj::releaseLastHold() + 0×15F8 2024-10-16_10:38:02.883-0300: [I] 0×1001725A8 CacheObj::cacheObjReleM(KernelOperation*) + 0×228 2024-10-16_10:38:02.884-0300: [I] 0×100167168 CacheObj::cacheObjRele(KernelOperation*) + 0×88 2024-10-16_10:38:02.885-0300: [I] 0×10062A600 OpenFile::flushBufferAddrs() + 0×340 2024-10-16_10:38:02.886-0300: [I] 0×100634344 FileMetadata::flushFileMetadata(int,const ByteRange&,ByteRange*,unsigned int*) + 0xD64 2024-10-16_10:38:02.886-0300: [I] 0×100622438 FileMetadata::flushFile(int,const ByteRange&,int*,int*,ByteRange*) + 0×858 2024-10-16_10:38:02.887-0300: [I] 0×100C8AB18 OpenFile::relinquishBRT(const ByteRange&,BRLock::BRLockMode,RevokeReq*,int,ByteRange*,int) + 0×458 2024-10-16_10:38:02.888-0300: [I] 0×100D345F0 RangeRevokeRequest::rrrHandle() + 0×9D0 2024-10-16_10:38:02.889-0300: [I] 0×100D33920 BRL::RangeRevokeWorker(void*) + 0xC0 2024-10-16_10:38:02.890-0300: [I] 0×10009F918 Thread::callBody(Thread*) + 0xF8 2024-10-16_10:38:02.891-0300: [I] 0×1000022E8 Thread::callBodyWrapper(Thread*) + 0xC8 The gpfs filesystems were unmounted and make Db2 crash. We need GPFS support understand the reason for gpfs crash. Regards, Marcelo.",Db2 pureScale,AI-1580882,2024-10-17,"Customer Sentiment Not available Description Summary Not available Feed Summary Subject: Purescale member 6 crashed due to GPFS assertion failed Description: The customer reported that GPFS encountered an assert failure which resulted in Member 6 crashing due to fs unmounted. The customer is unsure if the member would crash again due to assert failure. The customer is currently sensitive and does not wish to enable trace. Environment: Db2 V11.5.9 CSB 42449 Purescale 8 members (GPFS 5.8.1.0) AIX 7.2 TL05 SP07 Assistance provided: IBM support has engaged GPFS for analysis and is awaiting their response. IBM support has provided the customer with instructions to set and start the trace and let it running until the next occurrence of the problem. Next steps: Awaiting GPFS trace and GPFS snap from the customer. The case needs 24*7 assistance. Note: The conversation is ongoing, and the summary may be updated as new information becomes available. Resolution Summary Not available",Added incorrect information (hallucination),Watson said: GPFS encountered an assert failure which resulted in Member 6 crashing due to fs unmounted and it should be: GPFS encountered an assert failure which resulted in Member 6 GPFS crash. The fs unmount was a result of the log assert that caused a signal 6 on gpfs process,Awaiting your feedback,0,customer sentiment available description summary available feed summary subject purescale member crashed due gpfs assertion failed description customer reported gpfs encountered assert failure resulted member crashing due f unmounted customer unsure member would crash due assert failure customer currently sensitive wish enable trace environment csb purescale member gpfs aix assistance provided ibm support engaged gpfs analysis awaiting response ibm support provided customer instruction set start trace let running next occurrence problem next step awaiting gpfs trace gpfs snap customer case need assistance note conversation ongoing summary may updated new information becomes available resolution summary available
TS017339597,IBM COS slicestore - top drive tray not working,"One of the new IBM COS jbod devices (Dell R650), was shipped with a defective internal part when you pulled the drive tray out it did not allow the top drive tray to slide back in. It is the drive wiring harness/plastic track in the under left of attached photo. The track is held to the back of the drive tray by 2 pins, but the track in the defective unit was free flowing (only held up by the wires themselves). In this state the drive tray would not close. We took pliers and tried to reattach the 2 pins. This partially worked and allowed us to close the drive tray.",Cloud Object Storage,AI-1581832,2024-10-17,"Customer Sentiment neutral Description Summary The customer had an issue with the top drive tray of an IBM COS jbod device not working due to a defective wiring harness/plastic track. They attempted to fix the problem by reattaching the wiring harness using pliers, which partially resolved the issue, allowing them to close the drive tray. Feed Summary Summary: The customer reported an issue with a new IBM COS jbod device (Dell R650) where the top drive tray was not able to slide back in due to a defective internal part. The customer tried to reattach the 2 pins holding the wiring harness/plastic track but was only partially successful. The customer requested help with installation instructions for updating the firmware on 2/8/2024 at 6pm CST. The asset information for the device is as follows: * Serial Number: H079G24 * Machine Type: Slicestore jbod * Machine Model: Dell R650 The support team provided links to the firmware and instructions on Fix Central and helped the customer plan the update. The customer also requested a copy of their CSM license. The support team confirmed 24x7 hardware maintenance coverage and released the case to support with 24*7 coverage hours. The customer was asked to provide the full address where the server is located, and the support team found coverage in IERP and CSP and updated feedV2. The customer was transferred to NDM for further assistance. The customer requested a call from the support team and was transferred to NDM. The customer was also asked to provide the method of payment and the request ID# of Engage Support. The support team emailed the customer with links to the firmware and instructions and asked the customer to confirm the mentod of Payment. The customer was also asked to provide the serial number of the device and the model number of the disk drive. The support team also asked the customer to confirm the intervention address and provided instructions for updating the firmware. The support team also provided instructions for updating the firmware and asked the customer to confirm the intervention address. The customer was also asked to provide the serial number of the device and the model number of the disk drive. The support team also provided instructions for updating the firmware and asked the customer to confirm the intervention address. The customer was also asked to provide the serial number of the device and the model number of the disk drive. The support team also provided instructions for updating the firmware and asked the customer to confirm the intervention address. The customer was also asked to provide the serial number of the device and the model number of the disk drive Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: The support case was resolved by providing the full address for shipping the defective Dell HBA355e Adp controller and addressing the issue with the disk in slot 3 not being recognized by the server.",Too Long,Feed summary is too long. Several times it says the same thing (reg updating FW). Watson also got the model wrong. The issue is with a JBOD ME484 which is attached to an R650. Watson however seems to think the issue is on the R650.,Awaiting your feedback,0,customer sentiment neutral description summary customer issue top drive tray ibm co jbod device working due defective wiring track attempted fix problem reattaching wiring harness using plier partially resolved issue allowing close drive tray feed summary summary customer reported issue new ibm co jbod device dell top drive tray able slide back due defective internal part customer tried reattach pin holding wiring track partially successful customer requested help installation instruction updating firmware cst asset information device follows serial number machine type slicestore jbod machine model dell support team provided link firmware instruction fix central helped customer plan update customer also requested copy csm license support team confirmed hardware maintenance coverage released case support coverage hour customer asked provide full address server located support team found coverage ierp csp updated customer transferred ndm assistance customer requested call support team transferred ndm customer also asked provide method payment request id engage support support team emailed customer link firmware instruction asked customer confirm mentod payment customer also asked provide serial number device model number disk drive support team also asked customer confirm intervention address provided instruction updating firmware support team also provided instruction updating firmware asked customer confirm intervention address customer also asked provide serial number device model number disk drive support team also provided instruction updating firmware asked customer confirm intervention address customer also asked provide serial number device model number disk drive support team also provided instruction updating firmware asked customer confirm intervention address customer also asked provide serial number device model number disk drive resolution summary confirmed solution summarized solution attempt generated watsonx support case resolved providing full address shipping defective dell adp controller addressing issue disk slot recognized server
TS017553416,DT/DR- INSTALAÇÃO - ORDER WO4T5B,"TYPE MOD SERIAL ID NUMBER CLA QTY 9273 S31 78A0010 WO4T5B BTO 0000001 DESCRICAO: 9273 S31 IBM S3 Deep Archive:INSTALACAO MAQUINA CONTATO:Dimitrius Osti (11) 99685-9037 / (11) 96031-7124 IBM BRASIL-INDUSTRIA MAQUINAS Rua Tutoia, 1157 ? Vila Mariana ? São Paulo ? SP - Laboratório ICC Codigo Tutoia: 00994722",S3 Deep Archive,AI-1581960,2024-10-17,Customer Sentiment Not available Description Summary Not available Feed Summary Subject: DT/DR- INSTALAÇÃO - ORDER WO4T5B Description: Order for the installation of IBM S3 Deep Archive Contact: Dimitrius Osti Asset Information: Serial Number: 78A0010 Machine Type: 9273 Machine Model: S31 [IBM Support]: Automated Post: Entitlement Search History: Selected Account: IBM BRASIL-INDUSTRIA MAQUINAS E SERVICOS LIMITADA Resolution Summary Not available,Missing information,Link posted at IA don´t work.,IBM is working,0,customer sentiment available description summary available feed summary subject instalação order description order installation ibm deep archive contact dimitrius osti asset information serial number machine type machine model ibm support automated post entitlement search history selected account ibm maquinas e servicos limitada resolution summary available
TS016044899,"after upgrade of network switches vnic adapters has been switched to backing devices, but it cause issues on database","after upgrade of network switches, vnic adapters has switched to backup devices and it has affect on Oracle RAC database - interconnect between two servers in RAC wasn't working.",AIX,AI-1583592,2024-10-17,"Customer Sentiment negative Description Summary Not Summarized after upgrade of network switches vnic adapters has been switched to backing devices, but it cause issues on database after upgrade of network switches, vnic adapters has switched to backup devices and it has affect on Oracle RAC database - interconnect between two servers in RAC wasn't working. Feed Summary Not available Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: On April 22, there were two instances where the VNIC link on AIX lpar xicdbp02 was down and up within a few seconds. The physical link was also up during these instances. The VNIC failover was successful in both cases, and there were no network issues or delays in the failover. The VIOS xiciop011a showed that the ent1/ent3 physical link was down at Apr 22 00:05:06, and there was no Physical link UP event in the VIOS. However, AIX lpar xicdbp02 showed a Physical link UP event for vnic ent2/physical adapter ent3 in errpt. The VS\_TRANSPORT\_EVENT/VS\_CLIENT\_LOGIN showed vnic failover and vnicserver2 adapter becoming active on Apr 22 00:32:01. A test ifix dbg95125s4.240910.epkg.Z was provided to install, and a reboot is necessary to implement the changes.",Missing information,the critsit is too complex to be summarized in a few sentences,IBM is working,0,customer sentiment negative description summary summarized upgrade network switch vnic adapter switched backing device cause issue database upgrade network switch vnic adapter switched backup device affect oracle rac database interconnect two server rac working feed summary available resolution summary confirmed solution summarized solution attempt generated watsonx april two instance vnic link aix lpar within second physical link also instance vnic failover successful case network issue delay failover vios showed physical link apr physical link event vios however aix lpar showed physical link event vnic adapter errpt showed vnic failover adapter becoming active apr test ifix provided install reboot necessary implement change
TS017554178,SA MP version 4.1.1.1 Domain creation problem,"Note: This case is a duplicate of TS017543043. That case was opened using the incorrect customer number. I am creating this one on behalf of the SA who created it to make sure it gets routed to the correct support team. I do not know if you have access to cases on other products, so i will just and paste the entire PMR here. Kaiyir and/or Samy are the ones doing the install and will be responding with any needed further info. Thanks, tom ... After completed the following installations, we got this error: 1. Channel Bonding 2. ZVM Memory Lock Setup 3. Installation of SA MP Software v4.1.1 4. XDR v4.1.1.1 ERROR: <host11># mkrpdomain <ZVM-SYSTEM-LPAR-NAME> <host11> <host12> 2632-044 The domain cannot be created due to the following errors that were detected while harvesting information from the target nodes: <host12>: 2632-068 This node has the same internal identifier as <host11> and cannot be included in the domain definition. LINUX Operation System: <host11>:/var/ct/cfg# uname -a Linux <host11> 4.18.0-553.22.1.el8_10.s390x #1 SMP Wed Sep 11 18:43:09 EDT 2024 s390x s390x s390x GNU/Linux <host12>:/var/ct/cfg# uname -a Linux <host12> 4.18.0-553.22.1.el8_10.s390x #1 SMP Wed Sep 11 18:43:09 EDT 2024 s390x s390x s390x GNU/Linux SA MP Version: <host11>:/var/ct/cfg# samversion rsa41aris101a 4.1.1.1 Sep 22 2023 21:43:38 <host12>:/var/ct/cfg# samversion rsa41aris101a 4.1.1.1 Sep 22 2023 21:43:38",Tivoli System Automation for MultiPlatforms,AI-1583640,2024-10-17,"Customer Sentiment negative Description Summary The customer encountered an error while creating a domain in their ZVM environment using SA MP version 4.1.1.1. The error was due to duplicate internal identifiers for two nodes (host11 and host12). The customer had already completed the installation of Channel Bonding, ZVM Memory Lock Setup, SA MP Software v4.1.1, and XDR v4.1.1.1. To resolve the issue, they would need to ensure that the internal identifiers for these nodes were unique. Feed Summary The customer is experiencing an issue with creating a domain using mkrpdomain command. The error message states that the nodes have the same internal identifier. The customer has already tried running the preprpnode command and exporting the CT\_MANAGEMENT\_SCOPE variable. The customer has also tried running the recfgct command, but the issue persists. The customer has provided the output of the cat /var/ct/cfg/ct\_node\_id command, which shows that the node IDs are the same on both nodes. The customer has also confirmed that the /etc/hosts entries are correct. The support team is engaging the RSCT team for further investigation as the RSCT IDs should be different. The customer has been asked to provide the output of the /usr/sbin/rsct/bin/lsnodeid command, which shows the same node ID on both nodes. The support team is working on this issue with priority. Resolution Summary Not available",Missing information,Asked customer to run the recfgct with -i flag to specify the nodeid to used which worked in assigning the node a unique nodied.,Closed by IBM,0,customer sentiment negative description summary customer encountered error creating domain zvm environment using sa mp version error due duplicate internal identifier two node customer already completed installation channel bonding zvm memory lock setup sa mp software xdr resolve issue would need ensure internal identifier node unique feed summary customer experiencing issue creating domain using mkrpdomain command error message state node internal identifier customer already tried running preprpnode command exporting variable customer also tried running recfgct command issue persists customer provided output cat command show node id node customer also confirmed entry correct support team engaging rsct team investigation rsct id different customer asked provide output command show node id node support team working issue priority resolution summary available
TS017177208,FCIP Router Faulty,"Hello Support Team, FCIP router is in faulty state with below error on errdump 2024/09/09-05:19:40, [BL-1064], 2335562, CHASSIS, ERROR, IBM_2498_R42, Chip (2) on slot (0) going for reset to recover FPGA. 2024/09/09-05:19:40, [ESM-2105], 2335563, FID 128, INFO, DC1A_FCIP2, VE Tunnel 24 is DEGRADED. 2024/09/09-05:19:40, [ESM-2104], 2335564, FID 128, INFO, DC1A_FCIP2, VE Tunnel 24 is OFFLINE. 2024/09/09-05:19:40, [ZONE-1060], 2335565, FID 128, WARNING, DC1A_FCIP2, Non-TI and TI failover-enabled traffic restricted to domain 2 due to TI failover-disabled zoning. 2024/09/09-05:22:05, [EM-1134], 2335566, FFDC | CHASSIS, ERROR, IBM_2498_R42, Switch set to faulty, rc=20015. 2024/09/09-05:22:05, [BL-1006], 2335567, FID 128, INFO, DC1A_FCIP2, Blade 0 NOT faulted. Peer blade 0 experienced abrupt failure. 2024/09/09-05:22:05, [BL-1006], 2335568, FID 128, INFO, DC1A_FCIP2, Blade 0 NOT faulted. Peer blade 0 experienced abrupt failure. 2024/09/09-05:22:05, [ESM-2105], 2335569, FID 128, INFO, DC1A_FCIP2, VE Tunnel 34 is DEGRADED. 2024/09/09-05:22:06, [ZONE-1058], 2335570, FID 128, WARNING, DC1A_FCIP2, Domain 2 present in TI zone TI_3par became unreachable due to failover disabled mode. 2024/09/09-05:22:06, [ZONE-1058], 2335571, FID 128, WARNING, DC1A_FCIP2, Domain 2 present in TI zone TI_AFA_V800 became unreachable due to failover disabled mode. 2024/09/09-05:24:41, [ESM-1100], 2335572, FID 128, WARNING, DC1A_FCIP2, esm_msg.c:2650 Cancel conn:0x102ebce8 ver:6 Reference 1 cleanup timed out 0 2024/09/09-05:24:41, [ESM-1100], 2335573, FID 128, WARNING, DC1A_FCIP2, esm_msg.c:2656 conn:0x102ebce8 failed to cancel all threads rsp:0 ref:1 2024/09/09-13:17:04, [XTUN-1996], 2335605, CHASSIS, INFO, IBM_2498_R42, FTRACE buffer 2 on slot 0 DP 1 has been cleared. 2024/09/09-13:17:04, [XTUN-1996], 2335606, CHASSIS, INFO, IBM_2498_R42, FTRACE buffer 3 on slot 0 DP 1 has been cleared. 2024/09/09-13:17:04, [XTUN-1996], 2335607, CHASSIS, INFO, IBM_2498_R42, FTRACE buffer 4 on slot 0 DP 1 has been cleared. 2024/09/09-13:17:04, [XTUN-1996], 2335608, CHASSIS, INFO, IBM_2498_R42, FTRACE buffer 5 on slot 0 DP 1 has been cleared. 2024/09/09-13:17:25, [SS-1010], 2335609, CHASSIS, INFO, IBM_2498_R42, CORE/FFDC files have been uploaded to the remote host. Kindly investigate why the router is showing faulty. SS will be uploaded on this case in next 15 minutes. Regards, Karthick Thelungavari,",SAN b-type Collection,AI-1583679,2024-10-17,"Customer Sentiment negative Description Summary The FCIP router is in a faulty state, with several error messages indicating degraded and offline virtual Ethernet tunnels, non-TI and TI failover-enabled traffic being restricted to a single domain, and abrupt failures in one of the blades. Additionally, there are warnings about domains becoming unreachable due to failover disabled mode. The support team has been notified, and they will upload system logs in the next 15 minutes. Feed Summary Not available Resolution Description WO07432142: Replaced switchConfirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: We have opened case with Broadcom for further analyze to see if any action plan is needed first or the switch needs replacement. Once we have any update will let you know. The case was opened due to a reported FCIP Router fault and a HTBT hit threshold on the switch at the same time as the FPGA reset and recovery. Further analysis is needed by Broadcom to determine if any action plan is required or if the switch needs replacement.",Missing information,No feed summary is generated. I tried two times with 12 hours in between tries.,Closed by IBM,0,customer sentiment negative description summary fcip router faulty state several error message indicating degraded offline virtual ethernet tunnel ti traffic restricted single domain abrupt failure one blade additionally warning domain becoming unreachable due failover disabled mode support team notified upload system log next minute feed summary available resolution description replaced switchconfirmed solution summarized solution attempt generated watsonx opened case broadcom analyze see action plan needed first switch need replacement update let know case opened due reported fcip router fault htbt hit threshold switch time fpga reset recovery analysis needed broadcom determine action plan required switch need replacement
TS017250784,The CP4D home page doesn't respond,"After the upgrade from 4.8.4 to 5.0.2 the route cpd doesn't work and, after the login, the users receive an error (see the image attached).",Cloud Pak for Data,AI-1583825,2024-10-17,"Customer Sentiment negative Description Summary Not Summarized The CP4D home page doesn't respond After the upgrade from 4.8.4 to 5.0.2 the route cpd doesn't work and, after the login, the users receive an error (see the image attached). Feed Summary The customer is experiencing issues with the CP4D home page not responding after upgrading from 4.8.4 to 5.0.2. The root cause of the issue was found to be an incorrect host in the settings, which was causing a redirect to a wrong URL. The customer was asked to execute certain commands and provide the output, which was then used to further diagnose the issue. The customer was also asked to provide a must-gather file to engage RedHat support. After analyzing the must-gather file, it was found that there was a storage issue which was fixed on 09/19 at 4 PM UTC. The customer was then asked to provide the output of certain commands to check the current status of the system. The customer confirmed that the issue was resolved after applying the commands provided by the support team. Resolution Summary Confirmed Solution Not Summarized Solution Attempts *Generated by watsonx*: The solution to the problem is to restart the zen-watchdog service. If it does not start in 5 minutes, the replicas for certain deployments should be scaled down to 0, then scaled back up in a specific order. This is due to an error that most likely occurred when a TLS certificate was applied with an incorrect host in the settings. The output of certain commands should be shared before attempting this solution, and if the problem persists, a call will need to be scheduled.",Missing information,Incomplete,Waiting for IBM,0,customer sentiment negative description summary summarized home page respond upgrade route cpd work login user receive error see image attached feed summary customer experiencing issue home page responding upgrading root cause issue found incorrect host setting causing redirect wrong url customer asked execute certain command provide output used diagnose issue customer also asked provide file engage redhat support analyzing file found storage issue fixed pm utc customer asked provide output certain command check current status system customer confirmed issue resolved applying command provided support team resolution summary confirmed solution summarized solution attempt generated watsonx solution problem restart service start minute replica certain deployment scaled scaled back specific order due error likely occurred tl certificate applied incorrect host setting output certain command shared attempting solution problem persists call need scheduled
TS017241875,Keyserver show no Key on few of the storage devices,"Hi Team, The keyserver on few of the IBM storage arrays are showing as No key. We have checked with Crypto team and it seems to be fne from their end . Could you please check if any issue on the storage arrays? Will be uploading snap 4. IBM_FlashSystem:PP2FS921O:superuser>lskeyserver id name status IP_address port type primary c ert_set 0 LLGB-PB2G-SECL-KM08 online 10.150.128.230 5701 ciphertrust_manager no y es 1 LLGB-PB2G-SECL-KM09 online 10.150.128.231 5701 ciphertrust_manager no y es 2 LLGB-RKA4-SECL-KM04 online 10.82.70.38 5701 ciphertrust_manager yes y es 3 LLGB-RKA4-SECL-KM05 offline 10.82.70.39 5701 ciphertrust_manager no y es",FlashSystem 9200,AI-1583949,2024-10-17,"Customer Sentiment negative Description Summary The customer's IBM storage arrays are showing ""No key"" for certain keyservers, and the customer has checked with the crypto team, who reported no issues on their end. The customer has uploaded a snapshot for further investigation. Feed Summary Customer reported that some of the IBM storage arrays keyserver are showing as No key. IBM support asked customer to check the primary keyserver and provide snapshots of the system where the key is missing and where it is present. IBM support also provided a link to the IBM documentation for event code 086008. Customer ran the testkeyserver command and it failed with 100% packet loss. IBM support asked customer to check the network connectivity and ping the keyserver from the service IPs of each node. Customer confirmed that there is 100% packet loss and informed IBM support that the keyserver is fine from the crypto hardware team's end. IBM support suggested checking with the network team for any issues in the network or firewall. Customer confirmed that they are checking with the network team. IBM support also provided a link to the IBM documentation for event code 086008 and asked customer to check the service IP address, Ethernet cable connections, key server object IP address and port, and SSL certificates for the key server. Customer confirmed that they are working on the action plan provided by IBM support. Later, customer informed IBM support that two other keyservers are not fine now. IBM support asked customer to upload snap 4. In summary, customer reported an issue with the keyserver on IBM storage arrays, IBM support provided troubleshooting steps and asked customer to check the network connectivity and key server object details. Customer is working on the action plan provided by IBM support and will update them with the results. Resolution Summary Confirmed Solution Not Summarized Solution Attempts Not Summarized: Can you ping the keyserver ? We are not responsible for network or keyserver issues.",Missing information,fair summary but technical details are missing,Awaiting your feedback,0,customer sentiment negative description summary customer ibm storage array showing key certain keyservers customer checked crypto team reported issue end customer uploaded snapshot investigation feed summary customer reported ibm storage array keyserver showing key ibm support asked customer check primary keyserver provide snapshot system key missing present ibm support also provided link ibm documentation event code customer ran testkeyserver command failed packet loss ibm support asked customer check network connectivity ping keyserver service ip node customer confirmed packet loss informed ibm support keyserver fine crypto hardware team end ibm support suggested checking network team issue network firewall customer confirmed checking network team ibm support also provided link ibm documentation event code asked customer check service ip address ethernet cable connection key server object ip address port ssl certificate key server customer confirmed working action plan provided ibm support later customer informed ibm support two keyservers fine ibm support asked customer upload snap summary customer reported issue keyserver ibm storage array ibm support provided troubleshooting step asked customer check network connectivity key server object detail customer working action plan provided ibm support update result resolution summary confirmed solution summarized solution attempt summarized ping keyserver responsible network keyserver issue
TS017519787,Supportsave is not working from SANNAV,We are unable to capture the supportsave from SANNAV for this switch. Rest all other switches are able to take supportsave from SANNAV.,SAN b-type Collection,AI-1583965,2024-10-17,"Customer Sentiment neutral Description Summary Not Summarized Supportsave is not working from SANNAV We are unable to capture the supportsave from SANNAV for this switch. Rest all other switches are able to take supportsave from SANNAV. Feed Summary Customer is unable to capture supportsave from SANNAV for a specific switch. Support advised to perform a hafailover and provided instructions on how to do it. Customer had concerns about the impact of the operation on the system and asked for clarification. Support explained that the operation should be performed on a stable fabric, when there are no many devices connecting or disconnecting, and that the management/control traffic may be delayed for a few seconds. Customer decided to perform the code upgrade and hafailover during the weekend and report the results. Customer was able to perform the support save command after the code upgrade and the case was closed. Resolution Summary Not available",None,Almost very good . hafailover is included in code upgrade and customer planned to do code upgrade during the week end,Closed by IBM,0,customer sentiment neutral description summary summarized supportsave working sannav unable capture supportsave sannav switch rest switch able take supportsave sannav feed summary customer unable capture supportsave sannav specific switch support advised perform hafailover provided instruction customer concern impact operation system asked clarification support explained operation performed stable fabric many device connecting disconnecting traffic may delayed second customer decided perform code upgrade hafailover weekend report result customer able perform support save command code upgrade case closed resolution summary available
TS017484559,CALL HOME - SYMPTOM : 9100 SRN260D-603,REPORTING DEVICE: 9080 REPORTING MODEL: M9S REPORTING SERIAL: 21E9D57 REPORTING CEC TYPE: 9080 REPORTING CEC MODEL: M9S REPORTING CEC SERIAL: 21E9D57 PROBLEM ID: 431 Serviceable Event Text: Permanent adapter failure. Serviceable_Event_Severity=0,Power System E980 Server,AI-1584278,2024-10-17,Customer Sentiment Not available Description Summary Not Summarized CALL HOME - SYMPTOM : 9100 SRN260D-603 REPORTING DEVICE: 9080 REPORTING MODEL: M9S REPORTING SERIAL: 21E9D57 REPORTING CEC TYPE: 9080 REPORTING CEC MODEL: M9S REPORTING CEC SERIAL: 21E9D57 PROBLEM ID: 431 Serviceable Event Text: Permanent adapter failure. Serviceable_Event_Severity=0 Feed Summary A permanent adapter failure was reported for a device with serial number 21E9D57. The device model is M9S and the machine type is 908 Resolution Description WO07435856: #PCK,Too Short,"In the resolution description there is only the work order number, without any useful description about how the problem has been fixed (for example: adapter in location xxx.nnn replaced with concurrent maintenance procedure)",Closed by IBM,0,customer sentiment available description summary summarized call home symptom reporting device reporting model reporting serial reporting cec type reporting cec model reporting cec serial problem id serviceable event text permanent adapter failure feed summary permanent adapter failure reported device serial number device model machine type resolution description pck
